timestamp,posX,posY,posZ,velX,velY,velZ,accX,accY,accZ,gyroX,gyroY,gyroZ,yaw,pitch,roll,quatX,quatY,quatZ,quatW
12791,-0.002875743,-0.002866043,-0.04520252,-0.03356002,-0.02991915,-0.2509199,8.878016,-0.3064688,-1.221087,3.5,9.125,8.375,2.67818,-85.21406,-162.6647,-0.7250253,-0.6664597,0.1189968,0.1265289
12802,-0.003401694,-0.003262623,-0.04853906,-0.04085689,-0.03080717,-0.2591893,9.050406,-0.3735088,-1.273761,-12.875,11,8.75,0.2605003,-85.25195,-160.7771,-0.7252031,-0.667422,0.1147196,0.1243694
12814,-0.004002203,-0.003673722,-0.05203613,-0.04609727,-0.03155741,-0.2684475,8.997731,-0.3399888,-1.091795,-27.25,12.25,8.25,-2.234214,-85.32882,-159.0063,-0.7252998,-0.6688464,0.1093453,0.1209479
12825,-0.004620118,-0.004111906,-0.05564173,-0.04808677,-0.03409991,-0.2805914,8.787034,-0.1245029,-0.8619434,-32.125,11.75,6.125,-4.133261,-85.4456,-157.8839,-0.7252281,-0.6705042,0.1040443,0.1168038
12837,-0.005262094,-0.004623086,-0.05951693,-0.04888636,-0.03892634,-0.2950962,8.638588,0.07661719,-0.7901148,-21.375,9.875,2.625,-5.093629,-85.57703,-157.5751,-0.7250175,-0.6720108,0.09996904,0.1129488
12848,-0.005940913,-0.005163898,-0.06352656,-0.05236993,-0.04172285,-0.3093376,8.629011,-0.1245029,-0.9289834,-11,8.375,-0.25,-5.812566,-85.66396,-157.3622,-0.7249273,-0.6730681,0.09680302,0.1099497
12860,-0.006726453,-0.005699647,-0.06771168,-0.06013937,-0.04101588,-0.3204038,8.854074,-0.483646,-1.173201,-21.625,9.375,0.125,-7.217077,-85.7023,-156.6052,-0.7251531,-0.6740057,0.09242754,0.1064256
12871,-0.007604043,-0.006212185,-0.07196866,-0.06799858,-0.03971313,-0.3298452,8.969,-0.5363203,-1.173201,-47.75,12.125,3.375,-9.422003,-85.75185,-155.3789,-0.725475,-0.6753538,0.08577762,0.1011218
12883,-0.008555777,-0.00674731,-0.0763886,-0.07279595,-0.04093048,-0.338071,9.093503,-0.2873144,-0.9768692,-72.125,14.375,6.625,-12.05979,-85.85423,-154.0541,-0.7256446,-0.6772797,0.07709298,0.09374904
12894,-0.009529145,-0.007351758,-0.08086714,-0.07494936,-0.04654254,-0.3448484,9.222795,0.09577148,-0.8380005,-69.25,14,6,-13.98326,-85.9987,-153.3989,-0.7255496,-0.6792426,0.06909458,0.08621684
12906,-0.01052464,-0.008038412,-0.08551174,-0.07591647,-0.05236436,-0.3541979,9.040829,0.1436572,-0.708709,-47.5,11.75,3.125,-15.32708,-86.15056,-153.0486,-0.7252259,-0.6809238,0.06300155,0.08013119
12917,-0.01152372,-0.008759429,-0.09016903,-0.07821804,-0.05644855,-0.3646207,8.930691,0.01436572,-0.7613833,-27.875,9.375,-0.125,-16.12537,-86.26781,-152.9651,-0.7249441,-0.6821187,0.05871314,0.07565175
12928,-0.01261537,-0.009560899,-0.09506636,-0.08295219,-0.06090201,-0.3721372,9.165331,0.009577149,-0.9433491,-7.875,7.125,-4.625,-15.7555,-86.36169,-153.806,-0.7247797,-0.6828606,0.05625575,0.07232577
12940,-0.01377892,-0.01041943,-0.09993924,-0.08944909,-0.06600024,-0.3746066,9.53884,0.05267432,-1.106161,12.75,5.75,-9.875,-14.03605,-86.45017,-155.7211,-0.7246351,-0.6832567,0.05590391,0.07027899
12951,-0.01505275,-0.01138065,-0.1047871,-0.09748407,-0.07356119,-0.3710038,9.998543,0.2442173,-1.278549,42.875,5.125,-17.125,-10.22621,-86.55452,-159.3315,-0.7243445,-0.6833647,0.05865581,0.06997997
12964,-0.01651105,-0.01253941,-0.1098049,-0.1055059,-0.08383406,-0.363023,10.30022,0.4644917,-1.297704,85.125,4.25,-26.5,-3.354456,-86.68211,-165.4049,-0.723633,-0.6831921,0.06602902,0.07241599
12975,-0.01797503,-0.01376076,-0.1144588,-0.1116438,-0.09314018,-0.354909,10.34332,0.517166,-1.197144,124.75,2,-34.25,5.327078,-86.76154,-172.8055,-0.7225876,-0.68263,0.07675661,0.07740784
12987,-0.01951424,-0.01503548,-0.1189768,-0.1186197,-0.0982374,-0.3481797,10.23797,0.2490059,-1.206721,148.125,-0.875,-37.75,14.0789,-86.73608,-179.9831,-0.721465,-0.6814935,0.08919103,0.08426117
12999,-0.0214359,-0.01647953,-0.123988,-0.1308766,-0.09834786,-0.341298,10.17572,-0.158023,-1.412629,140.5,-1.875,-35.625,21.69883,-86.60149,174.0684,-0.7204781,-0.6797533,0.101952,0.09193757
13011,-0.02335653,-0.01775635,-0.1284655,-0.1438352,-0.09562059,-0.335316,10.15178,-0.3735088,-1.494035,108.375,-0.75,-30.75,26.43092,-86.46575,170.4277,-0.719874,-0.6783972,0.1103436,0.09686569
13023,-0.02534112,-0.01896736,-0.132751,-0.1538318,-0.09387009,-0.3321859,9.955446,-0.225063,-1.321646,81.375,0.125,-26.75,30.24395,-86.35987,167.3195,-0.7193663,-0.6775637,0.1161168,0.09968216
13034,-0.02743575,-0.02021331,-0.1370765,-0.1604219,-0.09542365,-0.3312783,9.787846,0.1340801,-1.139681,71.75,-1,-25.125,34.33384,-86.24292,163.8153,-0.718845,-0.6769179,0.1213555,0.1015731
13045,-0.02955312,-0.02150907,-0.1413767,-0.1646479,-0.1007588,-0.3343848,9.4718,0.5075889,-1.063064,86.375,-3.5,-26.125,38.89694,-86.06801,160.0159,-0.7182135,-0.6759611,0.1280307,0.1041833
13057,-0.03176768,-0.02288409,-0.145829,-0.1683693,-0.1045402,-0.3384965,9.40476,0.4405488,-0.9960235,107.5,-5.375,-27.625,43.13643,-85.85744,156.8364,-0.7173353,-0.6745413,0.1365183,0.108568
